Menu_id,Restaurant_id,Food_id,Cuisine,Price
mn501050,109962,fd431740,Beverages,160.0
mn425347,130575,fd7328,North Indian,200.0
mn525879,184948,fd500808,"Fast Food,Pizzas",109.0
mn633490,152596,fd10895,"South Indian,Beverages",220.0
mn89977,572361,fd89977,"Chinese,Beverages",239.0
mn630675,371276,fd630675,"Beverages,Punjabi",70.0
mn201177,488205,fd655093,Ice Cream,130.0
mn365290,574058,fd364428,"North Indian,Indian",70.0
mn574579,188074,fd25937,"Chinese,North Indian",210.0
mn972716,219194,fd54511,"Chinese,Continental",245.0
mn403003,408714,fd2460,"Chinese,Indian",280.0
mn381024,58727,fd79179,"Biryani,Mughlai",49.0
mn20522,116272,fd879094,"Fast Food,Snacks",180.0
mn462026,105255,fd461954,"South Indian,Chinese",179.0
mn774680,134889,fd2460,"South Indian,North Indian",350.0
mn639490,205073,fd639490,"Mughlai,Seafood",200.0
mn489999,238999,fd121798,"Pizzas,Chinese",331.0
mn815468,365362,fd219243,"Indian,North Indian",60.0
mn898473,261707,fd36407,"Pizzas,Continental",345.0
mn277710,72415,fd6687,"South Indian,Indian",130.0
mn509345,520986,fd509345,Bakery,2750.0
mn28732,120977,fd396,"Indian,Continental",319.0
mn96103,554166,fd6880,North Indian,210.0
mn178758,503647,fd6597,"North Indian,Beverages",60.0
mn523674,514812,fd13492,"Pizzas,Italian-American",149.0
mn465372,130527,fd1278,"Biryani,North Indian",420.0
mn478430,561007,fd478430,"Fast Food,Snacks",95.0
mn643619,368445,fd643619,"Pizzas,Chinese",190.0
mn245719,420010,fd362974,"Snacks,North Indian",90.0
mn474958,210252,fd47109,"Chinese,Fast Food",60.0
mn332834,58088,fd332834,"North Indian,Chinese",349.0
mn49920,107356,fd49920,"Desserts,Pizzas",119.0
mn272934,52202,fd830021,"North Indian,Chinese",216.0
mn8583,558957,fd1191,"North Indian,Tandoor",260.0
mn494404,570428,fd494404,"North Indian,Indian",350.0
mn419762,198751,fd1747,North Indian,110.0
mn424784,221806,fd567,North Indian,270.0
mn23464,127306,fd23464,"Indian,Chinese",80.0
mn699957,527668,fd452853,"South Indian,Chinese",60.0
mn775986,105524,fd816,"South Indian,North Indian",53.0
mn498904,405438,fd47097,"Chinese,Snacks",100.0
mn251863,493803,fd163033,Chinese,189.0
mn48588,148652,fd48588,Indian,10.0
mn607277,398343,fd607261,"Chinese,Street Food",185.0
mn190949,433316,fd157786,"Indian,Chinese",240.0
mn769370,105959,fd43522,Desserts,120.0
mn826269,201115,fd7028,"Chinese,South Indian",45.0
mn313301,440498,fd450840,Beverages,50.0
mn443348,132295,fd442537,Chinese,180.0
mn217557,356504,fd217557,Beverages,210.0
mn795506,339794,fd48633,"Chinese,North Indian",199.0
mn639699,473409,fd639699,"Chinese,Mughlai",699.0
mn757939,200131,fd421584,"South Indian,North Indian",225.0
mn910645,434488,fd17712,"South Indian,North Indian",205.0
mn65047,506276,fd28,Chinese,250.0
mn524759,263100,fd21330,"Italian,North Indian",195.0
mn430701,238445,fd10282,Bakery,580.0
mn144452,38230,fd144452,"Thalis,Punjabi",75.0
mn680641,74104,fd4136,"North Indian,Chinese",145.0
mn114122,36763,fd47226,"Biryani,North Indian",370.0
mn30547,103645,fd30014,"North Indian,Chinese",325.0
mn188580,487745,fd188580,"Fast Food,Street Food",45.0
mn697862,473143,fd693000,"Pizzas,Fast Food",149.0
mn184082,55549,fd101105,"Fast Food,Snacks",20.0
mn223195,208880,fd223195,"Chinese,Italian",190.0
mn383842,58634,fd383842,"Sweets,North Indian",120.0
mn779446,309720,fd4219,"Italian,Snacks",199.0
mn867828,280594,fd1622,"Italian,Continental",295.0
mn62918,74558,fd36693,"South Indian,North Indian",750.0
mn483712,201545,fd14049,South Indian,245.0
mn951172,333724,fd39909,"Indian,Chinese",259.0
mn229217,139640,fd12616,South Indian,100.0
mn621113,522238,fd537714,"Pizzas,Italian",160.0
mn466858,446496,fd466858,"Pizzas,Italian",269.0
mn265350,478918,fd260780,"Beverages,Fast Food",200.0
mn213532,480794,fd47273,"North Indian,Fast Food",200.0
mn79735,517961,fd45081,"Desserts,American",12.0
mn944595,514480,fd100792,"Waffle,Desserts",89.0
mn971707,446182,fd368016,"Biryani,Desserts",79.0
mn685419,572457,fd6794,"Grill,Fast Food",160.0
mn146908,72650,fd146908,"Continental,Healthy Food",349.0
mn959166,40111,fd355177,"Biryani,Chinese",249.0
mn313764,303592,fd100917,"Indian,Chinese",425.0
mn652168,417175,fd652168,"Chinese,Biryani",220.0
mn265529,53834,fd23986,"Indian,Chinese",285.0
mn681415,74230,fd1201,Beverages,156.0
mn650569,160395,fd361271,"Pizzas,Bakery",149.0
mn290227,439618,fd5229,"Street Food,Chinese",80.0
mn214615,110016,fd2460,"North Indian,Mexican",259.0
mn706221,260652,fd450398,"Beverages,Ice Cream",80.0
mn584540,521221,fd1009077,"Indian,Chinese",30.0
mn500262,164571,fd499894,"Indian,Sweets",120.0
mn631383,175101,fd47223,"North Indian,Chinese",150.0
mn558465,379965,fd350408,"Bakery,Snacks",65.0
mn736671,416205,fd80732,"Indian,Chinese",210.0
mn732545,407530,fd3567,"Chinese,Indian",129.0
mn371182,55949,fd6691,"Indian,Chinese",180.0
mn879877,252782,fd5171,Indian,120.0
mn309884,504554,fd117505,"Pizzas,Pastas",159.0
mn598540,445270,fd3039,"North Indian,Chinese",210.0
mn615136,482506,fd224478,"Italian,Indian",129.0
mn232153,145704,fd16223,"Ice Cream,Bakery",649.0
mn695523,427344,fd689780,"American,Pizzas",130.0
mn582776,76533,fd10759,"North Indian,Thalis",80.0
mn236669,438688,fd50117,Sweets,314.0
mn701824,482439,fd124250,"Beverages,Fast Food",79.0
mn308276,103420,fd308276,"North Indian,Middle Eastern",378.0
mn71937,464580,fd71937,"North Indian,Tandoor",345.0
mn1007138,556503,fd47090,"North Indian,Chinese",110.0
mn955782,16395,fd2878,"North Indian,Chinese",130.0
mn413202,223167,fd107074,Pizzas,549.0
mn516326,359160,fd829053,"Indian,Chinese",130.0
mn424684,221806,fd4539,North Indian,320.0
mn711103,542929,fd651182,"Beverages,Fast Food",85.0
mn541230,106286,fd541230,Desserts,155.0
mn181743,357456,fd539,North Indian,60.0
mn44900,146161,fd44900,"South Indian,North Indian",90.0
mn259403,307907,fd132070,"Continental,Pizzas",395.0
mn446516,135821,fd446516,"Indian,Jain",80.0
mn435044,482614,fd162084,"Indian,North Indian",210.0
mn174130,154526,fd110178,"North Indian,Chinese",259.0
mn125716,37577,fd1218,"Fast Food,Snacks",60.0
mn740368,369991,fd235460,"Tandoor,Chinese",160.0
mn366855,61232,fd106823,"North Indian,Pizzas",85.0
mn82410,97071,fd82410,Bakery,480.0
mn203693,337247,fd112187,"North Indian,Snacks",60.0
mn693068,493399,fd276455,"Italian,Fast Food",149.0
mn356018,56241,fd470003,"North Indian,Chinese",170.0
mn190194,542679,fd51031,"Fast Food,Snacks",219.0
mn152433,476296,fd1168,"Ice Cream,Beverages",51.0
mn449685,387039,fd449685,"Arabian,Beverages",188.0
mn252614,386064,fd1059,"Continental,Beverages",79.0
mn140030,108343,fd140030,"Beverages,Desserts",20.0
mn1040086,316903,fd148194,"Chinese,Pan-Asian",209.0
mn161876,385884,fd161876,"Indian,Rajasthani",220.0
mn962672,333097,fd443756,"Maharashtrian,North Indian",98.1
mn649442,117687,fd669355,"South Indian,North Indian",129.0
mn338571,36192,fd809,"South Indian,Pizzas",340.0
mn234568,371345,fd234568,"Beverages,Ice Cream",35.71
mn741286,423970,fd2206,"Beverages,Chinese",160.0
mn640443,536660,fd640443,North Indian,295.0
mn536207,101039,fd536207,Chinese,70.0
mn989733,408768,fd29034,"Biryani,Indian",250.0
mn1000110,302661,fd8137,"Chinese,Asian",270.0
mn565696,113985,fd1438,North Indian,240.0
mn130213,415487,fd130213,"Chinese,Indian",375.0
mn763074,421406,fd763074,"Chinese,Indian",325.0
mn259899,311047,fd48892,Indian,260.0
mn518246,161358,fd47222,"North Indian,South Indian",265.0
mn654362,101337,fd654362,"Andhra,South Indian",130.0
mn701780,572866,fd419023,"Indian,Snacks",25.0
mn480635,80426,fd480635,"Indian,Chinese",130.0
mn492969,301701,fd74518,"North Indian,Barbecue",969.0
mn594489,357517,fd18,"Fast Food,South Indian",89.0
mn359875,535969,fd100833,"Bakery,Desserts",889.0
mn548743,184002,fd4513,"North Indian,Chinese",150.0
mn627530,548212,fd78201,"Healthy Food,Salads",260.0
mn733162,436741,fd38,"Indian,North Indian",80.0
mn50851,106647,fd50851,North Indian,230.0
mn972005,551186,fd1228,"Chinese,Indian",35.0
mn412631,295865,fd133443,"Asian,North Indian",249.0
mn169795,107986,fd169795,"Indian,Mexican",310.0
mn394553,490946,fd394553,"Fast Food,North Indian",99.0
mn469932,569781,fd11428,"North Indian,Chinese",140.0
mn464319,303164,fd464319,"Indian,Snacks",70.0
mn113183,542291,fd32981,"Beverages,Fast Food",140.0
mn548915,493792,fd548915,"Indian,Chinese",130.0
mn760369,486292,fd322463,Indian,199.0
mn61258,574413,fd674424,"North Indian,Chinese",200.0
mn26134,109387,fd2613,"Indian,Chinese",230.0
mn443955,133690,fd54511,"Indian,Maharashtrian",160.0
mn337189,36778,fd183990,Indian,200.0
mn518143,222235,fd518143,"Pizzas,Beverages",479.0
mn58611,402269,fd58611,"Biryani,Indian",110.0
mn907691,125956,fd75107,"Desserts,Bakery",213.71
mn328766,37686,fd124890,"Burgers,Beverages",200.0
mn440870,566833,fd440870,"Desserts,Ice Cream",40.0
mn137934,84145,fd137934,"Fast Food,Snacks",140.0
mn215975,579072,fd215975,North Indian,90.0
mn824363,507067,fd151315,"North Indian,Fast Food",99.0
mn442053,332304,fd16,Beverages,245.0
mn238987,331138,fd6763,Indian,375.0
mn742507,157335,fd29034,"North Indian,Barbecue",309.0
mn643654,368445,fd993141,"Pizzas,Chinese",200.0
mn131562,157809,fd131562,"North Indian,Chinese",160.0
mn166889,130743,fd166889,Street Food,130.0
mn729538,363436,fd729538,"Pizzas,Tandoor",220.0
mn671779,131015,fd37341,"North Indian,Indian",189.0
mn850270,211,fd6112,"Biryani,Chinese",55.0
mn7736,102037,fd7736,"South Indian,Indian",145.0
mn944098,251707,fd3967,Indian,129.0
mn718545,168945,fd4040,"Maharashtrian,North Indian",200.0
mn407674,506861,fd407674,"Chaat,North Indian",60.0
mn145794,530845,fd8548,"Indian,Chinese",40.0
mn239535,333430,fd3146,"Pizzas,Snacks",119.0
mn328363,52982,fd6671,"Indian,North Indian",130.0
mn397312,432844,fd397096,South Indian,150.0
mn59475,485620,fd59475,"Biryani,Kebabs",250.0
mn235631,369055,fd64613,"Indian,South Indian",170.0
mn293900,558193,fd293900,"Bakery,Sweets",250.0
mn582637,492067,fd3430,"North Indian,Chinese",90.0
mn459056,219849,fd459056,"Chinese,Mughlai",570.0
mn1019451,2675,fd11537,"Salads,Snacks",123.8
mn356588,524490,fd287906,"Fast Food,Pizzas",119.0
mn339299,445387,fd339299,"Bakery,Beverages",199.0
mn737415,292842,fd818,"Chinese,Continental",230.0
mn744070,488371,fd514037,"Pizzas,Pastas",89.0
mn109803,194951,fd109803,"Beverages,North Indian",250.0
mn586607,75666,fd12668,"North Indian,Indian",440.0
mn111305,225064,fd77934,"Ice Cream,Desserts",130.0
mn662665,560600,fd4806,Fast Food,60.0
mn318954,86595,fd134177,"Pizzas,Italian-American",105.0
mn500875,466606,fd500875,"Pizzas,Beverages",99.0
mn443982,133690,fd443982,"Indian,Maharashtrian",170.0
mn489729,80312,fd1267,"Indian,Chinese",420.0
mn452690,171130,fd975,"Continental,Chinese",75.0
mn188195,317596,fd188121,"Beverages,Combo",550.0
mn881911,548329,fd663042,"Beverages,Fast Food",75.0
mn701358,114412,fd12131,North Indian,180.0
mn341771,36174,fd341771,"Mexican,Italian",325.0
mn133272,45038,fd133272,"Continental,Chinese",250.0
mn753888,177416,fd285,"Italian,Chinese",80.0
mn695198,427335,fd689749,"American,Pizzas",289.0
mn180852,42313,fd225203,"Punjabi,Indian",110.0
mn696165,516685,fd689897,"Pizzas,Fast Food",110.0
mn950460,3610,fd565047,"Maharashtrian,North Indian",35.0
mn223377,73390,fd17633,"Desserts,Snacks",249.0
mn642488,376873,fd47235,"South Indian,North Indian",210.0
mn899002,372792,fd2576,"Biryani,North Indian",269.0
mn691694,469209,fd82266,"North Indian,Punjabi",255.0
mn700395,113594,fd3848,"Chinese,Chaat",165.0
mn638373,154824,fd2460,"Chinese,North Indian",199.0
mn51582,391689,fd51582,Bakery,500.0
mn633555,182236,fd633555,"Desserts,Beverages",130.0
mn103652,374053,fd101750,Combo,199.0
mn588639,134522,fd1261,North Indian,303.0
mn269843,53984,fd269843,"Snacks,Sweets",159.0
mn1011232,436793,fd53657,"Beverages,Ice Cream",65.0
mn609047,251746,fd568,Indian,260.0
mn693298,461774,fd1150,"Chinese,Indian",199.0
mn935481,462660,fd125806,"North Indian,Snacks",70.0
mn119615,376060,fd119615,"Biryani,North Indian",190.0
mn438144,381682,fd25733,"Indian,Chinese",399.0
mn897234,385,fd2043,Juices,86.67
mn78854,498050,fd78854,"Bakery,Desserts",649.0
mn382123,572206,fd814,"North Indian,Indian",18.0
mn396141,532264,fd1204,"Indian,Chinese",150.0
mn955810,16395,fd8161,"North Indian,Chinese",195.0
mn139928,517768,fd139928,Chinese,239.0
mn144539,463808,fd144539,North Indian,70.0
mn741200,515740,fd741200,Chaat,129.0
mn486702,402009,fd795,"Chinese,South Indian",195.0
mn889924,2072,fd29393,"North Indian,Sweets",145.0
mn295283,577284,fd295283,"Chinese,North Indian",150.0
mn394192,382886,fd119137,"American,Snacks",228.57
mn438858,530759,fd437595,"Juices,Beverages",120.0
mn96746,416900,fd1224,"Indian,Chinese",35.0
mn510300,374671,fd1279,"South Indian,Chinese",169.0
mn86701,310682,fd86701,North Indian,40.0
mn480015,432760,fd44,"Chinese,Snacks",69.0
mn771039,173509,fd315650,"South Indian,North Indian",25.0
mn628993,182215,fd4374,"North Indian,Continental",110.0
mn697501,475052,fd696378,"Pizzas,Fast Food",179.0
mn534281,208960,fd237,"North Indian,Fast Food",126.9
mn534455,105732,fd534455,Indian,120.0
mn726200,227151,fd726190,"Italian-American,Combo",389.0
mn931540,4042,fd225519,"North Indian,Chinese",200.0
mn227922,461013,fd227922,"Beverages,Italian-American",75.0
mn496319,309969,fd496319,Italian,219.0
mn955219,387590,fd531385,"Bakery,Desserts",229.0
mn44216,466231,fd1206,"North Indian,Chinese",55.0
mn85997,431608,fd38739,"North Indian,Chinese",225.0
mn127794,300371,fd74571,"North Indian,Barbecue",19.0
mn241735,482770,fd241735,"Beverages,Snacks",140.0
mn355058,528602,fd355058,"Beverages,Indian",99.0
mn337592,68599,fd105613,"Desserts,Bakery",545.0
mn682889,463728,fd682888,Chinese,80.0
mn328689,37686,fd124813,"Burgers,Beverages",2055.01
mn1035318,367197,fd56872,"Chinese,Indian",200.0
mn642060,303252,fd5843,"Continental,Pizzas",250.0
mn686652,488015,fd12523,"North Indian,South Indian",70.0
mn7634,412357,fd3986,"Chinese,Indian",158.4
mn511435,385904,fd30397,"Indian,Mughlai",414.0
mn673580,237269,fd673580,"Pizzas,Snacks",395.0
mn756856,380665,fd756856,"North Indian,South Indian",210.0
mn424369,434010,fd42879,Indian,110.0
mn21705,153339,fd2590,"Indian,Chinese",249.0
mn516581,551180,fd516581,"Pizzas,Chinese",280.0
mn396240,523429,fd332095,"Pizzas,Italian",220.0
mn127301,579614,fd127301,"Snacks,Sweets",125.0
mn123823,434900,fd123823,"Chinese,Tandoor",325.0
mn147058,72650,fd104426,"Continental,Healthy Food",249.0
mn234352,297064,fd47264,"North Indian,Chinese",59.0
mn377304,87903,fd4998,"Indian,Chinese",210.0
mn748862,101473,fd748727,"American,Italian",200.0
mn364310,574053,fd364310,"North Indian,Thalis",410.0
mn494456,462891,fd808,"North Indian,Beverages",150.0
mn192054,577320,fd192054,"Italian,South Indian",139.0
mn1032119,543269,fd23196,"Chaat,Snacks",65.0
mn385492,389664,fd5176,Indian,129.0
mn668361,528812,fd47103,"Fast Food,Chinese",85.0
mn707842,496333,fd817,"Mughlai,North Indian",140.0
mn249338,357606,fd249338,"Bengali,North Indian",320.0
mn586583,75666,fd582359,"North Indian,Indian",440.0
mn629571,261176,fd629571,"Desserts,Ice Cream",251.43
mn869880,404760,fd5084,Chinese,310.0
mn258675,561832,fd3504,"Beverages,Snacks",80.0
mn617699,564686,fd562781,"North Indian,Fast Food",265.0
mn660465,538243,fd2298,Chinese,60.0
mn766449,421203,fd47116,"Biryani,North Indian",190.0
mn101735,571698,fd101735,"Chinese,North Indian",240.0
mn750742,444875,fd767240,North Indian,50.0
mn57463,142467,fd23,"Thai,Indian",256.0
mn709771,382481,fd28,"Indian,North Indian",145.0
mn636082,561486,fd636082,"Fast Food,Italian",199.0
mn483056,80703,fd2595,"North Indian,South Indian",390.0
mn417531,552548,fd417492,"Sweets,Snacks",130.0
mn469590,105866,fd307,"Chinese,North Indian",90.0
mn486753,446154,fd486753,Chinese,200.0
mn771395,464702,fd28,"Chinese,North Indian",165.0
mn125044,517127,fd125044,North Indian,160.0
mn568000,452531,fd47090,"Fast Food,Pizzas",130.0
mn319493,390395,fd112248,"Chinese,Punjabi",126.0
mn95347,469183,fd95347,"Chinese,North Indian",160.0
mn365231,574058,fd364369,"North Indian,Indian",30.0
mn689740,427329,fd689740,"American,Pizzas",259.0
mn34836,109260,fd34836,"Indian,Chinese",150.0
mn716126,226190,fd704839,"Burgers,Fast Food",150.0
mn465003,256975,fd465003,Chinese,499.0
mn420603,129500,fd4136,"Indian,Chinese",180.0
mn555777,317659,fd555777,"Fast Food,South Indian",139.0
mn934659,25117,fd1187,"North Indian,Chinese",320.0
mn306837,207982,fd306837,"North Indian,Chinese",250.0
mn552070,213765,fd1423,"North Indian,Chinese",75.0
mn775965,105524,fd775965,"South Indian,North Indian",238.0
mn383217,485089,fd383217,"Indian,Chinese",647.0
mn71219,74354,fd29819,Chinese,279.0
mn486917,415132,fd1026927,Indian,335.0
mn538068,286517,fd74498,"North Indian,Barbecue",809.0
mn374013,250976,fd287888,Indian,70.0
mn461623,448727,fd7453,"American,Snacks",639.05
mn15875,523044,fd15875,"Chinese,North Indian",234.0
mn191356,389199,fd130474,"Desserts,Ice Cream",149.0
mn523035,511233,fd521512,"American,Fast Food",250.0
mn236093,65623,fd236093,"Gujarati,Snacks",85.0
mn581589,75342,fd2299,"North Indian,Continental",470.0
mn522439,377994,fd1002106,"Burgers,Pizzas",229.0
mn718836,79405,fd18594,"North Indian,Punjabi",240.0
mn537275,105784,fd600466,"North Indian,Thalis",240.0
mn476770,495088,fd476770,"North Indian,Snacks",330.0
mn114329,512864,fd114329,"Pizzas,Italian",270.0
mn305397,297449,fd70081,"Mexican,Italian",330.0
mn257790,126665,fd5523,"Chinese,North Indian",305.0
mn727143,432353,fd727143,"Italian-American,Pizzas",110.0
mn158319,180338,fd158319,"Snacks,Italian",18.0
mn592069,102499,fd592069,"North Indian,Punjabi",300.0
mn84724,74565,fd5407,"Chinese,North Indian",190.0
mn960865,375068,fd87781,North Indian,269.0
mn273324,573346,fd273324,"South Indian,Fast Food",130.0
mn552773,431199,fd2603,"Chinese,North Indian",290.0
mn891250,450124,fd10514,"Chinese,Indian",240.0
mn386699,538775,fd386699,"Italian,Fast Food",150.0
mn260405,545126,fd260405,"North Indian,Beverages",150.0
mn873356,436544,fd241,"Indian,Pastas",70.0
mn1017239,355977,fd9496,"Kerala,Seafood",200.0
mn33784,512784,fd33784,"Chinese,Mughlai",110.0
mn904490,475800,fd313455,"Fast Food,Juices",148.0
mn549693,492603,fd3798,"Fast Food,Snacks",210.0
mn590887,101027,fd451307,"Healthy Food,Salads",110.0
mn322002,35981,fd322002,"South Indian,Continental",40.0
mn629833,262885,fd117,Snacks,69.0
mn854525,237,fd10731,"North Indian,Chinese",300.0
mn589371,76916,fd545458,"North Indian,Tandoor",300.0
mn283898,49328,fd283898,Chinese,180.0
mn449374,133712,fd4136,North Indian,130.0
mn256648,127526,fd153504,Snacks,90.0
mn1039048,85450,fd2274,"North Indian,Oriya",194.0
mn153055,63622,fd3467,Beverages,165.0
mn406100,58430,fd5818,"Chinese,Continental",240.9
mn533192,106354,fd6523,"North Indian,Chinese",250.0
mn575285,482044,fd4729,"Pizzas,Snacks",33.0
mn596317,215501,fd596317,"North Indian,Indian",110.0
mn458367,104169,fd680828,"Desserts,Fast Food",575.0
mn321707,35981,fd321707,"South Indian,Continental",240.0
mn152583,516399,fd152560,"Pizzas,Italian",250.0
mn611046,225715,fd124,"Italian,Continental",260.0
mn219236,477335,fd5189,"Indian,Tandoor",290.0
mn380468,503748,fd380468,"Beverages,Fast Food",115.0
mn200374,566762,fd200374,Chinese,140.0
mn824958,42057,fd8160,"Biryani,Mughlai",130.0
mn313053,97115,fd312973,Snacks,70.0
mn837784,303270,fd42879,"Kerala,South Indian",120.0
mn384154,423836,fd384154,"Fast Food,Snacks",139.0
mn637278,568222,fd99910,"Pizzas,Beverages",360.0
mn698455,574815,fd47225,"North Indian,Indian",200.0
mn838488,421310,fd17717,"North Indian,South Indian",179.0
mn416526,107847,fd416526,"Biryani,Mughlai",360.0
mn245626,391722,fd181660,"Pizzas,Pastas",485.0
mn270825,552399,fd105367,"North Indian,South Indian",110.0
mn735344,202851,fd735344,"South Indian,North Indian",520.0
mn561136,111708,fd255,"South Indian,North Indian",110.0
mn255678,501725,fd1061,"Fast Food,American",120.0
mn250816,158545,fd1447,Indian,25.0
mn1019067,182320,fd2368,Pizzas,219.0
mn311524,61834,fd311524,"North Indian,Chinese",170.0
mn453337,136963,fd14880,"Indian,Continental",550.0
mn93043,143805,fd6122,"Chinese,North Indian",180.0
mn300410,422933,fd125893,"Pizzas,Pastas",149.0
mn250720,158545,fd2628,Indian,69.0
mn572453,189084,fd2494,"South Indian,Italian",170.0
mn277024,193951,fd277024,Pizzas,355.0
mn428156,381597,fd205752,South Indian,120.0
mn750213,86750,fd83110,"North Indian,Continental",290.0
mn72750,151719,fd72750,"Desserts,Ice Cream",160.0
mn1011642,449898,fd46,Fast Food,130.0
mn124102,56524,fd124102,Indian,225.0
mn890252,10576,fd7963,"Pizzas,Fast Food",185.0
mn790611,446418,fd40151,"South Indian,Chinese",190.0
mn931646,69717,fd28295,"Chinese,South Indian",150.0
mn561583,110887,fd251,"North Indian,Maharashtrian",140.0
mn717178,334863,fd704783,"Burgers,Fast Food",180.0
mn316772,383713,fd1062,North Indian,90.0
mn1005180,300446,fd1242,Continental,160.0
mn749791,452448,fd962,"Italian,Snacks",149.0
mn85041,294480,fd85041,"North Indian,Mughlai",3250.0
mn488981,445812,fd23466,Chinese,90.0
mn698402,73973,fd698402,"North Indian,South Indian",230.0
mn457227,476442,fd450902,"North Indian,Indian",25.0
mn900902,468296,fd4710,Snacks,80.0
mn386321,356663,fd386321,Indian,210.0
mn989221,254831,fd614917,"Punjabi,North Indian",319.0
mn469745,105866,fd17185,"Chinese,North Indian",100.0
mn210169,548065,fd210169,"North Indian,Indian",20.0
mn305133,196811,fd115725,South Indian,200.0
